"(PDH-CSV 4.0) (Korea Standard Time)(-540)","\\DESKTOP-PBJRE7A\Process(myIOCP)\% Processor Time","\\DESKTOP-PBJRE7A\Process(myIOCP)\Handle Count","\\DESKTOP-PBJRE7A\Process(myIOCP)\Private Bytes","\\DESKTOP-PBJRE7A\Process(myIOCP)\Thread Count"
"06/02/2026 14:14:31.648","27.177956188904705215","1587","422535168","48"
"06/02/2026 14:14:36.648","38.753528121200154999","1583","422535168","48"
"06/02/2026 14:14:41.656","55.219959079377233024","1563","422535168","48"
"06/02/2026 14:14:46.656","29.682207068835488428","1563","422535168","48"
"06/02/2026 14:14:51.652","33.158120320062899111","1574","422535168","48"
"06/02/2026 14:14:56.650","48.445617547676292247","1523","422535168","48"
"06/02/2026 14:15:01.658","31.83267209591405944","1558","422535168","48"
"06/02/2026 14:15:06.640","32.612963478377864135","1571","422535168","48"
"06/02/2026 14:15:11.653","23.06959191552912003","1452","422535168","48"
"06/02/2026 14:15:16.642","18.787913633955046322","1065","422535168","48"
"06/02/2026 14:15:21.641","24.381289397412956532","947","422535168","48"
"06/02/2026 14:15:26.659","14.94836952752150161","895","422535168","48"
"06/02/2026 14:15:31.649","20.664048439054312212","918","422535168","48"
"06/02/2026 14:15:36.651","13.744834965916508551","981","422535168","48"
"06/02/2026 14:15:41.659","17.785697665046683369","1005","422535168","48"
"06/02/2026 14:15:46.649","21.916580574998498321","1091","422535168","48"
"06/02/2026 14:15:51.660","19.952694157422168786","1152","422535168","48"
"06/02/2026 14:15:56.654","29.415737266225249869","1255","422535168","48"
"06/02/2026 14:16:01.644","24.110695834331078657","1338","422535168","48"
"06/02/2026 14:16:06.654","34.923876426553043473","1435","422535168","48"
"06/02/2026 14:16:11.648","30.982380456681941183","1569","422535168","48"
"06/02/2026 14:16:16.657","33.376435141793272976","1586","422535168","48"
"06/02/2026 14:16:21.638","35.13413016335945116","1582","422535168","48"
"06/02/2026 14:16:26.639","33.429752320602176496","1555","422535168","48"
